"term","prop_connected","prop_connected_std","wilcox_effect_size","wilcox_p_value","wilcox_adj_p_value","fold_change","log_fold_change","de_label","plot_label","de_color","label_color","nudge_x","nudge_y"
"impulsivity",0.102766798418972,2.10363368043014,11632.3829802871,0.585266155503877,183.188306672714,0.741962773251593,0.583428818867299,NA,NA,"#BDBDBD","#BDBDBD",0,1
"incentive",0.0803891449052739,1.66885502917727,135285.941929337,0.415744343792271,130.127979606981,0.232125232076317,0.267052971372317,"incentive",NA,"#F8766D","darkred",-3,1
"incorrect",0.123076923076923,1.58249043773906,16124.7688521677,0.934305201463303,292.437528058014,0.530209144169827,0.310983693950591,"incorrect",NA,"#F8766D","darkred",-3,1
"induction",0.120397428404442,1.87577081218534,115158.730157886,0.907498112630322,284.046909253291,1.02872575472939,0.528796193371715,NA,NA,"#BDBDBD","#BDBDBD",0,1
"inference",0.128117135666895,2.20782389157824,386856.797072438,0.0017786890034685,0.556729658085639,0.791116755594597,0.475445977062741,"inference","inference","#F8766D","darkred",-3,1
"instruction",0.110521235521236,1.75307001366323,522524.668197237,0.180563049174806,56.5162343917143,0.7997642355582,0.409999291150482,"instruction",NA,"#F8766D","darkred",-3,1
"integration",0.101386138613861,1.46066116979591,383579.389168142,0.274358753767829,85.8742899293306,0.808698574879542,0.377028157334338,"integration",NA,"#F8766D","darkred",-3,1
"integrity",0.0935672514619883,2.30979157294947,7811.99219962796,0.168596380917173,52.770667227075,0.22170895081554,0.244750980733422,"integrity",NA,"#F8766D","darkred",-3,1
"intensity",0.151232262882748,2.80229432084292,498341.238724448,0.00589103255878063,1.84389319089834,0.949815225818246,0.5922493555463,NA,NA,"#BDBDBD","#BDBDBD",0,1
"intention",0.10718954248366,1.66855967330479,724155.854842995,0.892099247752561,279.227064546552,0.598765859971317,0.363354044887189,"intention",NA,"#F8766D","darkred",-3,1
"intentional",0.112605042016807,1.48093224789916,27390.650236743,0.724876398331639,226.886312677803,1.21149314662303,0.494030126680883,"intentional",NA,"#F8766D","darkred",-3,1
"interactive",0.0793650793650794,1.09450859054663,28596.2409394733,0.111930437308262,35.0342268774861,0.49281062919307,0.292834531147578,"interactive",NA,"#F8766D","darkred",-3,1
"interference",0.164315569487983,2.29787926664362,317421.96860955,0.769023799269207,240.704449171262,1.71550336813348,0.615325318998365,NA,NA,"#BDBDBD","#BDBDBD",0,1
"interoception",0.171650055370986,2.12241620021459,53789.7262910874,0.895192339802414,280.195202358156,1.3046007970181,0.555026829896552,NA,NA,"#BDBDBD","#BDBDBD",0,1
"interpersonal",0.101010101010101,1.72465394687617,89619.2304100687,0.0163658742783878,5.12251864913538,0.405530905585135,0.311656916123951,"interpersonal",NA,"#F8766D","darkred",-3,1
"item",0.110424556507873,2.0332949448641,1704370.60903123,0.190464980437106,59.6155388768143,0.646315110079364,0.48130020455626,"item",NA,"#F8766D","darkred",-3,1
"judgment",0.108736512356422,2.21839213901309,1556154.45122628,0.000241834636371005,0.0756942411841246,0.684027033569751,0.468574998993965,"judgment","judgment","#F8766D","darkred",-3,1
"knowledge",0.206153846153846,3.33253655435474,18166.5745359741,0.000365001622168113,0.114245507738619,2.59069686959257,0.835443501766139,NA,NA,"#BDBDBD","#BDBDBD",0,1
"language",0.0972166519611775,1.89100851085157,3768186.29374437,2.08224312772841e-08,6.51742098978993e-06,0.602785357067052,0.438594005718342,NA,NA,"#BDBDBD","#BDBDBD",0,1
"learn",0.0898692810457516,1.26599680826193,795846.871193145,0.058221881420038,18.2234488844719,0.361745933131968,0.249276559565276,"learn",NA,"#F8766D","darkred",-3,1
"letter",0.133217446270544,2.1234107889395,589088.237656991,0.0111686179599987,3.49577742147959,1.12797972874423,0.531063087305614,NA,NA,"#BDBDBD","#BDBDBD",0,1
"lexical",0.108906322104292,2.16593572377731,2108882.12126977,9.78928763547785e-06,0.00306404702990457,0.794860894321057,0.511884506672903,NA,NA,"#BDBDBD","#BDBDBD",0,1
"light",0.166666666666667,2.13321799307958,3928.32731294274,0.459436130261736,143.803508771923,1.82525006758583,0.620732312839722,NA,NA,"#BDBDBD","#BDBDBD",0,1
"limb",0.193528543307087,4.36543051910178,725435.992306752,1.65407415938583e-08,5.17725211887764e-06,2.06068408550025,0.876238673581035,"limb",NA,"#00A9FF","darkblue",2,1
"linguistic",0.11859732072498,2.30612073531502,1818601.70687328,3.0781039111664e-05,0.00963446524195082,0.955202150281601,0.590672389021339,NA,NA,"#BDBDBD","#BDBDBD",0,1
"listen",0.167318557149066,2.78021484929641,623385.707015503,0.0817137776117785,25.5764123924867,1.69953429277199,0.69788890343656,NA,NA,"#BDBDBD","#BDBDBD",0,1
"location",0.183193277310924,2.90607091617135,281342.649081254,0.424978654902921,133.018318984614,2.40608856088561,0.79032762205976,NA,NA,"#BDBDBD","#BDBDBD",0,1
"loss",0.0884790163058006,1.59190653294935,309399.237876682,0.174342040176931,54.5690585753795,0.493152271570123,0.372988401172661,"loss",NA,"#F8766D","darkred",-3,1
"maintenance",0.122959483264827,1.65736864619705,750220.511829281,0.00850628086870459,2.66246591190454,1.10436822103751,0.504808126603303,NA,NA,"#BDBDBD","#BDBDBD",0,1
"manipulation",0.249411764705882,4.82410472498455,105573.090632567,0.498768809657497,156.114637422797,3.32485332605216,0.918354450131052,NA,NA,"#BDBDBD","#BDBDBD",0,1
"match",0.110246085011186,1.68827400673973,1013409.4152264,0.133461006452089,41.7732950195039,0.789690379689092,0.475303743052091,"match",NA,"#F8766D","darkred",-3,1
