Parcel,Region,Best Predictor,Best Predictor Rsquare,a,abin,d,PLbin,PLwei1,PLwei2,PLwei3,PLwei4,Gwei,Gbin,Coswei,Cosbin,SIbin,SIwei1,SIwei2,SIwei3,SIwei4,PTbin,PTwei1,PTwei2,PTwei3,PTwei4,MIwei,MIbin,Navnumhops,NavplMS,mfptwei,mfptbin,FGbin1,FGbin2,FGbin3,FGbin4,FGwei1,FGwei2,FGwei3,FGwei4
L_TP2.2_A,Temporal Pole,Coswei,0.21855831344215407,0.11799666311620197,0.018755978489777857,0.026674594649227553,0.018755978489777857,0.07047532316480257,0.008925440019717549,0.0008831185516068151,0.001132890920033302,0.13958549800192574,0.0,0.21855831344215407,0.0421469326052522,0.014288719264936063,0.028306728376946103,0.05106782502124413,0.1228034119677843,0.12283677330209526,0.04269697199056855,0.02459777611274063,0.019767146143557887,0.026154707751829483,0.0024513540438851804,0.06666468001369588,0.03991121501779905,0.01761989867233496,0.032262795575695426,0.1500164768261784,8.753502079503443e-05,0.035551613742099406,0.04991122095995834,0.04686931248743264,0.044630706096968474,0.1392621855734995,0.15756766371721345,0.11342281967144066,0.00553754416431837
L_TP2.2_B,Temporal Pole,SIwei2,0.054310331191571456,0.018849758841151563,0.0239384638997274,0.011408653572652533,0.023938463899727393,0.021568866282573377,1.7408174442717056e-05,0.0005221646948722896,6.373000965500367e-06,0.027227748117072067,0.0,0.03887295030088585,0.012462423412535402,0.027228290227034442,0.0072823679807627615,0.054310331191571456,0.005077652886805755,0.009685046630814027,0.004860468849844477,0.00044102019515429184,0.008529231761991893,0.002072783381479311,0.007613131478253686,0.03247096359394499,0.009842944275512267,0.021494153314143786,0.01709291386053752,0.052431777999701834,0.024548620069497082,0.02217381522451266,0.010992854208625507,0.0004255832884715567,7.04244358795358e-05,0.01889433707051791,0.014664146686611389,0.0030035815259581676,0.005951874574351619
L_TP2.2_C,Temporal Pole,NavplMS,0.07830096818274629,0.05925503072544676,0.0024847301778447594,0.07734941979186324,0.0024847301778447603,0.00381951941406283,0.0002629375756380271,0.0008574961639706281,0.0009927534913256163,0.07520097238922006,0.0,0.06485369516425198,0.000808746487017625,0.0019494425287923008,0.01070546937007438,0.02998521403220749,0.022040010863898184,0.0026688352782516613,0.00013643409650085914,0.0038875498366107734,0.02037685988505035,0.029159023633867815,0.017067427069750996,0.04222296640994357,0.0010141469784491612,0.002568421679838105,0.07830096818274629,0.020190066115937304,7.334739522274654e-06,0.0031159596002985766,0.004802124515257782,0.0065494157164759995,0.007284191616081068,0.04337131792286846,0.01426380087757631,0.0006938384954342054,0.022533970731268085
L_TP2.2_D,Temporal Pole,Gwei,0.04066885292818383,0.03667665441097848,1.5690809948375082e-12,0.015620561601907895,1.5690809948375082e-12,0.00076563720624843,0.0005976309188971125,0.0002877920649195992,0.00020034105633209436,0.04066885292818383,0.0,0.025719028997699317,0.0010143905163441903,2.7311996755522992e-05,3.5558988069125454e-05,0.0075192532110108104,0.03553007124702629,0.006327020499354783,1.3595793389213996e-05,0.012408437937633597,0.014720228559994419,0.024148824406028044,0.00914712021636258,0.03256243654029971,0.0011980503214061924,4.229671044825463e-06,0.017453269340897373,0.010853519881227767,0.0003453314870468769,7.277613543553801e-05,0.0010321352058974336,0.0038189959227947433,0.004951256056785442,0.03071618380888923,0.01589432903281563,0.0004268117458671901,0.007706448760091175
L_TP3_A,Temporal Pole,Coswei,0.22254139212529422,0.11294540199567828,0.014871242522641517,0.15308770205967065,0.014871242522641513,0.02595954294192551,0.00043282703926562184,0.004589903949062599,0.00508890124402139,0.15474202509634502,0.0,0.22254139212529422,0.008676782083037756,0.01474888785102786,0.05074358621399671,0.027530522246069104,0.03159797981725044,0.05468138661788392,0.006342504408828232,0.0032303348980126756,0.006255234600646516,0.0009119951863506026,0.00039743428651465825,0.10216944254939905,0.008684439088569062,0.014640228806912103,0.15051270234061317,0.12332103247497775,0.0077020565760957125,0.016147480168907043,0.015352491436211351,0.0112234109372141,0.010012065524597987,0.11164674248489534,0.08270824440400422,0.019716730471309066,0.005042182080617034
L_TP3_B,Temporal Pole,Coswei,0.22441636625318073,0.0541389350100412,0.0031826379860766534,0.18563026262783458,0.0031826379860766534,0.017859837914702113,0.0003378469304408847,0.007564794456976193,0.007201343548915113,0.10073190140673824,0.0,0.22441636625318073,0.0010898028900540539,0.004211060594302563,0.04173875945119221,0.056691336013073745,0.019791482453113077,0.04078859670621162,0.001583663712328209,0.0034811088632614885,0.0012141550243318737,0.003616379258247176,0.009197115762848911,0.12605377026457962,0.0008969671138188557,0.0027689564565118213,0.1820395978596433,0.11829102307183939,0.0025577373518382244,0.0029098738957081404,0.001188010894082293,0.00011112925304983148,1.2130418754555885e-05,0.06016357931327295,0.048062930773309975,0.009470360215135695,0.007744475329701484
L_TP3_C,Temporal Pole,d,0.14861342780958575,0.05042717788050842,0.01104182009255343,0.14861342780958575,0.011041820092553426,0.0006422182798324829,0.003018873330224229,0.0,0.003951851729212554,0.0733718529497983,0.0,0.08085542118225368,0.0019386494731550618,0.011980779834186748,0.01327126112859241,0.022440127529194095,0.01472255742722653,0.0068708843108603755,0.0006287758344535573,0.003634387428393516,0.006189587331302916,0.04688972936755799,0.015844938574276792,0.13643826595385813,0.0016780029961894162,0.010753705386644476,0.1466687628127084,0.03141206640066024,0.005597819677343671,0.010504237286598704,0.0067512328298037745,0.0025948367800642,0.001857157361826491,0.03454102506738419,0.008964930651021089,0.0021013387224497874,0.03019033352352919
L_TP3_D,Temporal Pole,MIwei,0.12857004974030217,0.05403460526617102,0.0032078844081630154,0.12425771566436901,0.0032078844081630145,0.0004909135017199623,0.007657485836063007,0.005431960548655385,0.005232015586482858,0.07385215944664326,0.0,0.09618098819351063,0.0022396426257371214,0.0036860210060569677,0.0037505299021631426,0.02062519544808485,0.0005800476860891629,0.010180032724919338,0.0009419328823792239,0.00581280979949541,0.0012032738806313855,0.006857478590055915,0.004074165817215442,0.12857004974030217,0.0020990369867871263,0.0031479068457838156,0.12174400891301011,0.038703436652999273,0.0026552179940144186,0.003415199449608142,0.002748193537192082,0.0012504593023936175,0.0008779268780937708,0.043013677238292386,0.019180496864114823,0.00015863346639111807,0.015206746217271524
L_T1_A,Temporal body,FGwei2,0.18915128248335333,0.1586852548002229,0.000758411537636513,0.004714171440356513,0.000758411537636513,0.00680580718360966,0.006404041115048502,0.0009846246549599098,0.0005320820016902096,0.1755331864799544,0.0,0.1384899170663409,0.0004170117726260762,0.00046331225729612257,0.00026231328485576275,9.608250268507752e-05,0.0017029308125431025,0.008820706271437084,0.00034561079937501203,0.0014179038534225948,0.004014803663113544,0.02592863883729912,0.0006336635299630151,0.019673140492937474,0.0006629731972365318,0.0008782667063901718,0.004998549654572568,0.01952276376774503,3.506003281566311e-05,0.0005865428135308305,0.0003175143744009377,0.00019764922428877976,0.00022117578237617567,0.17829677380971082,0.18915128248335333,0.1310645197377331,0.03676443789133004
L_T1_B,Temporal body,FGwei2,0.23076990269448866,0.2142836481439986,0.00037486394307017503,0.001507660656532873,0.00037486394307017503,0.014137478401517287,0.00857028835280983,0.0008575952072143813,0.0004602431578730312,0.22264496908420117,0.0,0.14197033184364927,0.0007884243491964903,0.00014064588392616396,0.001739016081439772,0.003031295349898818,0.003231699938091081,0.00799702188500006,0.0005929661862151703,0.0008323613038423301,0.0034525625243226115,0.019566414455746174,0.0001237458932824018,0.020925263104724454,0.0011063057446971134,0.00045171162049989424,0.001818003202101697,0.027941467703010505,1.2241826685529346e-05,0.0004123138424654232,0.0003897483011377819,0.0003709800539534424,0.00041292495078847525,0.22965414914536178,0.23076990269448866,0.15916421566182462,0.052829894642959195
L_T1_C,Temporal body,FGwei1,0.2845138349926072,0.2791080102968883,2.9706122861277613e-08,0.0015896707719076633,2.9706122861277613e-08,0.02881169599204058,0.010791505416140367,0.0005796810998330622,0.00027622738593844677,0.2827997115073895,0.0,0.15648928325439337,0.001153327716068158,5.585365888721892e-05,0.013114128140516927,0.011430480791509648,0.009036628116439887,0.010051962855961043,0.0010505905163916125,0.00018699039584337473,0.00015877612603721301,0.009171575352818482,0.0014540696348954772,0.02583659713689754,0.0012633843643793646,3.1306721644951837e-06,0.0019046765825532844,0.040661401471002195,1.6181556452598063e-05,1.4404718893867608e-05,2.5689339945368778e-05,8.240987125951958e-06,3.857733643501798e-06,0.2845138349926072,0.26948294294740893,0.1856509313777465,0.07106504262340702
L_T1_D,Temporal body,Gwei,0.30462805732445863,0.2861835132567749,0.0010320500759751507,0.0028386414859704035,0.0010320500759751496,0.05230770021484148,0.012352322255019234,0.0005924122289450646,0.0002785722314290874,0.30462805732445863,0.0,0.17808639052362418,0.0018132591348560048,0.0008282603880669916,0.020311859103272226,0.022539678774649418,0.02269368242242044,0.011329229419475097,0.0006450635595225138,7.168667511393827e-05,0.00011206717024657864,0.02009547984361628,0.0022890691727219443,0.028572270098648794,0.0018185103907864568,0.00111797676021562,0.0033444034633323635,0.045628780771661485,0.0029316000958245353,0.0009691395173345932,0.00037488576496300384,2.3989074448406648e-05,9.318567389670248e-07,0.29548635567059645,0.2807028032479071,0.1976259000950451,0.08368410203965705
L_T1_E,Temporal body,FGwei1,0.2781227080592336,0.2624724179567286,0.0001676013236574972,0.006289224421314364,0.0001676013236574972,0.05466664270519362,0.015713600735956224,0.0007067239106301323,0.0003420585351168781,0.27763519376526136,0.0,0.17105526401478607,0.0006273337398736752,5.869744886252272e-05,0.03237617749921523,0.02034252917556383,0.001248724426976623,0.013700527766316603,0.0003755391351039064,0.0019184765233054798,4.937746794454059e-06,0.00039143626986595976,0.004281972625431506,0.027443643036451172,0.0007163839573464906,0.0001676013236574972,0.006594135794250642,0.04943790739548462,0.0004097419496385757,0.00013800544416201906,3.136600020395549e-05,7.222779252803623e-07,5.760351034982948e-06,0.2781227080592336,0.27132113038845124,0.19955630612600397,0.0959954073289589
L_T1_F,Temporal body,FGwei2,0.2639119959419765,0.19395135841579025,0.005394021999258685,0.042652334931176046,0.005394021999258685,0.0959689271800243,0.03650925474108727,0.001468126511696637,0.0006626241676621195,0.2139451692232312,0.0,0.18387176542522943,0.003420399080195459,0.004846309892531077,0.016209760168208485,0.03577984227584153,0.010251801059849398,0.043769768166714254,0.0023795166274687084,0.00327916342194856,0.011724927810858507,0.0448398750066489,0.03354978548806301,0.05491904569562347,0.003445815175673086,0.005658802428885276,0.04270411669417821,0.0831092965783236,0.010678952101570209,0.00442649174222599,0.0014666341520502123,3.129659247118279e-05,1.028233260084753e-05,0.22859249054007302,0.2639119959419765,0.2587492653286676,0.1960017351163313
L_T1_G,Temporal body,Gwei,0.06682552438378238,0.0591426550296634,0.0027120411326790267,0.000692935903322618,0.002712041132679026,0.004856113297433329,0.0033784700365560166,0.0013756375075531582,0.0008675085884677945,0.06682552438378238,0.0,0.04150450637189043,0.005261919898256433,0.00216619588881062,0.00728935282849846,0.004716049102881325,0.0008380246869683238,0.003981301263459984,0.0059504319477724065,0.0008737616868579411,0.0005966569564562848,3.780157790042429e-05,0.00948646173847849,0.0010163758480788321,0.005591875704752258,0.002905177662450624,1.0430518636961113e-05,0.02366562544436104,0.002728489242235725,0.003320002039373708,0.004266053617752785,0.0037392116810673406,0.003077373855975604,0.0597993296852541,0.05328274741373876,0.03230410431830473,0.011074198722671116
L_T2.1_A,Temporal body,Gwei,0.05599104659542563,0.051944530876257305,0.00011626350292311358,2.2738679169280157e-06,0.00011626350292311358,0.00014611350390974416,0.00034694569218652374,0.0018693688707723452,0.001379030879010864,0.05599104659542563,0.0,0.024638686438345027,7.159281241899651e-06,0.0005696137099988659,0.014254135384552847,0.0002286222627941208,0.047744214280881936,0.01569516568637993,0.00011615632303919777,0.04271082030088679,0.029849977643277195,0.03624282147216939,0.02651328968278073,0.004417851967011335,9.286651756971318e-05,6.235234385824338e-05,0.0001324570532212056,0.001701431249576065,0.003993726138862697,3.3974229210978068e-06,0.0010116939463164967,0.007612180511341252,0.011582274208287455,0.04757570351391433,0.030916171796009365,0.005072914363181995,0.0026815898934536672
L_T2.1_B,Temporal body,FGwei1,0.12416529740049247,0.12173048385016703,0.0003224101020679072,0.00208927411446602,0.0003224101020679075,0.002317723572391436,0.001995760300484232,0.002023805827005894,0.0013529480811912825,0.11572349442603504,0.0,0.06847655970964794,3.266221452435705e-05,0.001017344282274424,0.0007284439471069861,0.00015588541146159752,0.022652473792876594,0.003977910614571795,0.00015134492289001995,0.020400036368417567,0.029792516162115368,0.03186993211861351,0.013547732217349081,0.0012936674975291074,0.00024204284350776633,0.00022297871909257995,0.001771644274876181,0.006813772229172592,0.006269696065645871,7.333156174963665e-05,0.0005945015676857287,0.005536046225709639,0.008479590489648263,0.12416529740049247,0.1047082021206995,0.04756030101009681,0.00398314688348303
L_T2.1_C,Temporal body,FGwei1,0.20614070724860548,0.1873914063210233,0.00026838470746002517,0.0010547110198315052,0.00026838470746002517,0.02143437068709278,0.008469786985192334,0.0009096674303518562,0.0004940336946587796,0.1673528442967414,0.0,0.11591036537519768,0.0008475654758100334,6.139903231263208e-05,0.0013636672344557886,0.005114612579262476,0.0009904431210155096,0.0007410255181571901,0.0012333667284715338,0.0014357256752805527,0.0043194353004388925,0.0060772590481934915,7.43168201961644e-05,0.04698871389076633,0.00041001897147452366,0.000321979579511185,0.0007491446135817824,0.01584632364272101,0.0005846991025673978,0.00015529889194253475,0.0001720366373847471,0.0006726307942205901,0.0012394592972158381,0.20614070724860548,0.20248183065402042,0.13668824638929522,0.05090118826171646
