"affect","social","cogproc","percept","bio","drives","relativ"
59.5076979721919,0,0,0,7.45546723983556,0,0
0,0,0,0,10.9409758267833,0,0
0,0,11.2161044005244,2.47097361650036,0,0,0
0,0,8.98870932393932,0,0,0,0
0,11.2405592929186,5.81797069182269,0,0,12.5898486607871,0
0,23.5313779453442,20.8321433922733,22.4987865802822,0,0,0
7.85746626103119,0,0,0,0,0,0
27.4979854955681,27.4979854955681,11.1804995970991,12.0568090249799,12.0568090249799,0,0
0,17.9102988094909,9.48768497108939,0,0,14.1509984370154,0
0,28.0854540734244,20.3709688067912,0,0,12.1252374648115,0
0,0,10.1919699916207,10.2328447748664,4.98892450584744,0,0
20,0,10,0,10,0,10
17.5640709709216,20.724494825037,13.424100542139,0,0,0,0
0,20.5979886940019,10.6145694738051,0,0,9.18055152198725,0
0,0,10.6607979280898,0,13.3276710047635,18.3352754004598,0
0,0,4.82082232141238,7.6893250719071,23.2811677347906,16.7188841368686,0
2.3358237871999,3.99382207353479,0,0,0,9.23305299809534,0
0,3.71215091272783,0,6.16402487358598,9.72393524626052,6.33915872793299,0
0,27.2005831453477,10.3621127735999,56.969574153953,0,0,0
0,24.5838827682193,0,59.367045859384,0,0,0
0,22.4076695406875,0,57.0536629891732,0,0,0
0,26.0570394451163,0,55.8987834095977,0,0,0
0,18.7749843663597,0,54.9428369361921,0,0,0
0,13.3306484800096,0,43.9546834276549,0,0,12.7536395004063
0,10.9413767398391,20.8366158229218,0,0,12.5657828858799,16.2987945442062
0,6.08289922403231,15.7442347900503,0,0,6.08289922403231,0
0,23.7624411677168,9.56147563725515,31.3580483572362,0,0,0
0,34.8437101114473,0,62.1489284234579,0,0,0
0,24.3094825214743,12.9879908779118,57.1960375812008,0,0,0
0,16.4689569023096,0,26.5425171872268,12.3996073198685,7.70238790760363,11.595121083845
3.69221135775523,14.4462915590515,4.50426612255763,16.3467725301644,10.220056815894,10.2277484092947,28.4786176168715
0,13.1139440259251,0,26.7239523854262,0,7.1271971610809,47.1314508764936
0,6.30986331265187,6.30880903306748,6.18967544002993,0,0,0
4.84828459716944,4.84828459716944,16.2586045487086,3.2644969436643,0,0,0
0,0,25.1664374427484,0,0,4.98725132249588,0
0,0,4.07400957248122,0,0,9.08364811222743,0
0,0,7.31022175220595,4.76882910869493,0,2.90161604811793,44.7767606332
0,0,0,25.3623843740028,0,0,39.3624935798884
0,0,0,28.4713350904694,0,0,50.3584036404847
0,0,32.4586027075363,18.5904373846056,0,3.18792431863037,0
18.5581864463763,10.5182267902598,9.14941645454106,0,0,20.4120839537006,0
0,0,25.5162431374564,0,0,5.34785922899699,0
8.02455755970966,0,5.58520453893064,0,0,19.8434689896368,0
0,10.1286633309507,0,8.73838456040027,7.93423874195854,10.1286633309507,18.1057898498928
0,7.3577502941183,0,16.1071579136144,11.2516648063972,0,11.2814411007523
4.37240505735264,4.37240505735264,12.4095923936416,0,17.5318430250287,0,0
0,0,0,0,0,0,7.46252880366996
0,0,7.43224154587463,20.0227985293565,19.6154279268155,7.18627820922888,0
0,3.80471228298616,4.19339195694475,24.671753785718,44.1028058959115,3.80471228298616,9.58140591618835
0,0,8.28411050951342,37.8994702398518,35.2917783813042,0,3.46545512503885
0,0,13.3819082117577,0,0,0,0
8.37571043972479,0,3.72402431904452,17.621752198936,0,8.37571043972479,15.7609685497455
0,0,15.9238776837996,8.20451843043996,0,0,5.3137549637673
0,0,0,49.1765284984721,9.41608384437108,0,20.166335090346
0,0,11.9075373625217,34.1485105716141,4.15124224361424,0,26.4967833057495
9.63772627424263,0,9.59837423204783,54.3739501227549,0,14.8110514630737,0
0,0,5.4803428140403,42.2736198944696,0,0,5.08971735221198
0,0,0,35.0531691198557,0,0,18.0865124662061
0,0,3.79295175591619,27.1040822985044,4.67221466474317,3.79295175591619,29.5715256471928
0,0,0,16.5086728731763,0,0,33.4779657048547
0,3.58664740043993,0,65.9392745713418,8.23263048420199,0,0
0,0,7.13647523506299,60.608162099275,0,0,0
0,0,0,52.9822239251338,0,0,7.43785340253345
4.89473385003127,0,5.26614996873282,51.6135756381346,0,5.26614996873282,3.41238559057058
0,0,11.8418578833809,25.2786556487641,0,0,5.21321073976919
0,0,7.62227046311142,14.1806167237357,0,0,3.15917457461423
0,0,0,7.34147286915027,0,0,0
0,8.31157101789222,0,16.3992540632787,6.28729259381261,0,0
0,4.6138490641239,0,19.8651834705334,12.0556475298723,0,12.3556238551635
0,0,0,27.058671811092,4.3095258915488,0,31.569118512141
0,0,0,24.0189845674963,13.9043384836012,0,44.4872530900186
5.34184209502315,0,17.9322152612942,5.32316432546013,0,4.22117592124206,0
0,8.87450514508931,7.23174454097206,32.999127396593,8.78210497173676,0,0
0,0,0,51.0884870488704,5.02648956798828,0,7.14730529621478
0,0,0,25.4274720212449,8.04902943753444,0,17.5902591478561
5.69478704888775,0,2.83964340597778,32.503996846809,3.88125932782117,0,5.95829107673503
5.39782769611914,0,0,15.2544677251235,0,0,0
0,0,4.74512804896763,10.3468931903904,3.88921516661487,0,0
0,4.29066431380339,0,0,0,0,0
0,8.27876061876872,0,13.1624528056894,20.7267615237869,3.67507407571183,7.99000479853422
0,0,0,25.3128693354498,25.0864428634266,0,12.3065479985919
0,0,3.89689586913142,26.9444539745748,15.0307183549022,0,27.5225117874755
5.83735864829885,5.83735864829885,0,20.9811858902,11.4996971234552,0,0
0,2.40191651943025,4.34044960075124,19.2372674661217,34.8124348142628,2.40191651943025,0
0,0,0,0,0,0,30.4412567612279
0,0,4.39660853138866,0,0,0,0
0,3.41227362164455,3.65850483349637,0,0,0,0
0,0,0,12.5260426238325,0,0,21.5037570922272
0,0,0,8.09866077927847,0,0,6.40268474507079
0,6.18965491271144,4.95262769434695,2.62091611562156,0,0,0
0,12.9010670141891,0,22.3441221848658,0,5.86863368541871,23.6588314593903
7.90381670924514,0,0,15.564957414413,15.564957414413,9.73433588235545,0
9.30167311048004,0,8.85072022445,36.1018920860848,29.6804324768194,18.4254285421015,11.929038218086
16.1407043089382,0,0,42.0419914057454,33.9928697140741,10.1835181034898,17.2554669170772
11.6326938651782,0,8.68658259384942,25.4854518768042,24.802986007008,8.68658259384942,16.3110448536803
13.3926902889794,0,6.42532301318729,25.1879135924937,20.0683933126386,6.42532301318729,9.18824688387985
7.93222205202497,0,30.64437999558,19.6774341237708,20.9795561695217,15.9245846543247,9.62881862819629
0,0,7.5296812327913,14.8189303104334,15.1254302249296,0,29.1721510285626
0,0,9.15160616814482,3.65852067831157,0,33.9994069425977,0
0,0,23.2206143643049,4.06187349758187,0,5.68662289661463,0
0,0,20.0834384749703,0,7.31858096749587,0,8.87220681751629
0,0,5.40297826980232,0,0,26.2250216415135,0
7.96992367451606,8.49641065984857,29.1330363018828,0,0,31.1171963055138,0
0,0,26.1174261006069,0,0,17.0014156166342,0
0,0,5.46827765856957,0,0,18.42018146285,4.48160837089094
0,0,25.7208609719778,0,0,0,0
2.43182301637949,0,4.75615117350918,0,0,0,0
0,3.07638030302205,17.6831253686364,0,0,0,0
0,9.24744177837109,29.633865909994,0,0,4.06124548098574,0
1.61993004847518,0,2.83119592563048,0,0,0,1.77824139412162
0,0,0,6.4567949618374,6.4567949618374,0,14.0970769809827
0,0,0,0,5.98580446003286,0,13.1568756534872
0,0,0,5.99870497641499,5.99870497641499,7.43204199810664,26.1473867981362
7.39318616226837,0,0,20.5132259148313,28.0515315183051,4.8812646284067,24.9500975462391
0,0,10.4791676423604,40.3853003254324,18.846546949204,0,21.034370526977
0,0,0,20.4859100277727,20.4859100277727,11.7712597454354,17.1657461108365
0,0,2.72823465721738,0,0,4.543038535361,17.9255868891186
0,0,0,0,0,19.8951030222664,29.645773647783
0,0,0,17.6742222026645,17.6742222026645,0,40.179973045312
0,0,12.4531915789705,20.5607305501283,8.10753897115776,10.0214426057802,16.3055360743002
0,6.72420251967125,8.95128932695135,0,0,3.71554544093043,0
0,0,4.92281496876291,0,0,13.666695879709,5.30341917794499
0,3.87265139165109,5.81926962804087,0,0,37.6846431974608,3.20330423753856
0,0,0,0,0,21.4790875502559,15.3540843355936
0,0,0,14.7337189568696,7.86149703439963,0,18.6717681408359
0,0,0,0,0,17.1110680410242,0
0,0,8.78543270133284,0,0,0,4.35926753929382
0,0,3.55211247799248,0,0,0,0
0,0,11.7111221858681,0,0,0,0
0,3.72232328177189,11.7871162020236,0,0,0,0
0,0,24.701758734401,0,0,0,0
0,0,15.4934301384998,0,0,4.97967880677111,0
0,0,0,0,0,6.77289491104116,24.8922632154871
5.5946583463812,9.87814127377967,5.53422939569626,5.5946583463812,53.4205205143007,12.9112097600819,3.7213608751478
6.95522589389234,3.34143748614961,0,6.95522589389234,52.4423261594987,3.34143748614961,3.39250328394832
6.32389027024822,0,0,11.7733664859577,47.0567806627807,0,7.92010761015775
12.8912291259215,0,0,21.0350534075523,53.7276967052805,0,4.13961185497216
16.1644842435226,0,0,23.2975371964683,48.183128806415,0,6.95967359451215
12.7315498579412,0,6.39984770602194,20.1738845166233,20.1738845166233,6.39984770602194,14.4785964949714
0,0,0,28.1116361164251,24.163989106597,0,20.787864971142
0,0,0,32.7038627915376,28.2652248855496,0,18.3269240993256
0,0,0,35.3946704562435,28.1160629272869,0,11.1970864681357
0,7.0558375423563,16.0293300134912,31.9722608288865,6.53307875791836,0,12.3150372145464
3.77731385377157,9.68712259505392,20.2092669815464,19.2597921164374,3.77731385377157,0,11.4650231593253
13.4057134478416,0,10.4728306482587,29.9656737927012,13.4057134478416,4.43691123223097,4.2973960447718
13.7589348690223,4.14093054468347,5.03123340480979,37.4159208063559,13.7589348690223,0,0
0,0,18.1493850779767,7.74435601599636,7.74435601599636,10.2956285772706,20.3489339713707
0,0,0,16.7477984137528,16.7477984137528,0,15.5894296794914
0,0,12.2383037017183,17.6270883587957,17.6270883587957,12.2383037017183,15.6723696357842
23.2576968554739,0,10.029175435509,18.2834228537725,36.4647401170953,10.029175435509,8.90140344583876
3.02646371029785,0,0,3.02646371029785,49.4742882965555,0,8.00135291924208
0,0,0,3.04813245470602,42.7747107627643,2.60058219355099,12.1095754323903
5.18663459978251,6.87826928405516,0,5.18663459978251,49.7312094485605,0,13.0173212886392
0,0,0,18.5506170196109,25.2417638752774,0,26.2711202940641
0,0,4.04329330498869,24.8524879925854,24.8524879925854,4.04329330498869,20.5733150659935
0,0,0,32.0222324439513,27.0769912742848,0,21.2128088625463
0,0,13.6449419672159,21.0484841913975,6.29133281200692,0,23.0421818328828
0,13.4202772815401,28.2454020924386,25.827296854812,0,5.87406498718077,16.6095902657605
0,7.30538652214542,26.2489016877975,9.56222811021648,0,0,11.6971878037871
0,6.16364202627013,27.1807319448495,21.145622716689,0,0,0
20.9542325512592,0,9.41510859401003,25.6554471347136,41.0783852749587,4.7344980795951,0
8.74108605048133,0,7.46388929806167,4.40693533433268,4.40693533433268,4.223240821773,0
0,10.0526952955419,10.5218528414164,0,0,9.08208536426109,0
5.06078812703034,5.34978976760356,16.5882595799698,4.2285503199661,0,10.4105778946339,0
0,4.39366240514585,16.1157078530025,0,0,4.39366240514585,0
21.1602241389123,6.1653722972169,0,13.7142798011104,7.54890750389345,28.6444562872206,0
19.3765489492788,11.2553396355647,12.0805635611027,0,0,26.4859159356894,0
9.08177446351563,10.7452178656901,0,17.3830631941246,0,15.9351825181815,0
0,0,28.1727789256198,3.19408574380164,3.19408574380164,0,0
26.0097305574078,0,0,10.556419945173,10.556419945173,18.216393766516,0
0,7.00926680379788,34.1143355308517,0,0,30.8343922066921,0
0,0,0,0,9.17562278685469,0,0
0,0,6.91630263659858,0,0,0,0
24.0043498290799,0,0,5.59363477832215,5.59363477832215,28.3843272865561,0
4.24324165835924,0,12.2430070955257,4.24324165835924,4.24324165835924,37.0621005101742,0
0,0,5.27759206450996,0,0,0,0
0,0,8.54986729069926,0,0,0,0
0,0,0,0,6.79855883995511,21.9149241117541,12.6294251669245
5.82040886728656,0,0,5.82040886728656,5.82040886728656,16.1893995851847,10.1656824825804
14.9356542181274,0,24.8882915741165,5.50806807083653,5.50806807083653,9.4275861472909,0
0,0,6.76740669750762,0,0,30.095014937356,10.8083097474319
0,0,0,18.8351712254548,23.9386029348577,0,21.855100314627
0,0,7.93555015199896,20.1543521056971,13.3586505478275,0,21.9025408407484
0,0,9.70512840674981,0,11.4224605658389,8.25053338994871,21.4439010070192
10.5664973736012,10.5664973736012,5.4730599268451,5.61262701511313,5.61262701511313,25.667148807517,7.58686691824994
0,0,5.64025678498314,16.1276141709971,21.8960371130094,5.64025678498314,22.8398240018098
0,0,0,23.1216645792689,22.6676320065853,0,22.472684180898
0,0,12.2380707240759,14.2155891858801,25.9384767487255,0,21.2612953995058
0,0,0,9.74956844204135,5.14649350547101,6.61361341461255,28.252529805548
0,0,0,33.1865071098806,16.2011922927981,16.1164222901728,21.8206843325063
0,0,6.82774662848076,4.69659688327754,24.3381334624125,6.82774662848076,16.8871767980316
0,0,0,4.73952749589878,23.8913300565723,0,22.1497547165939
0,0,0,0,32.0609000907191,0,18.9139095107517
0,0,0,11.0858238582792,18.0787086302193,0,23.2001508593926
5.48300158656478,3.674733436333,16.2854985208228,3.674733436333,0,5.48300158656478,0
18.9125467670432,0,4.74452222515545,16.1291301405818,16.1291301405818,22.8547847274692,0
21.0806788449075,0,0,23.9727309825008,23.9727309825008,9.67426006385174,0
5.67933227289167,0,6.39530596551107,0,0,5.67933227289167,0
24.4015283528641,0,10.6249300570734,11.5576089910633,11.5576089910633,30.6834423110742,0
9.94620425626983,0,11.528130849663,6.51637651773898,6.51637651773898,41.9638535252841,0
10.9411566882092,0,5.43432047791726,0,0,32.1306364690944,0
0,0,17.2184405940594,0,0,0,0
0,0,11.5584991954335,0,0,38.2427264561836,0
6.75734153472422,0,9.11466371779184,0,0,46.1232683127931,0
0,0,6.77544013590663,0,0,45.8350066479616,0
0,0,10.1405291284555,0,0,0,0
0,0,13.3432922316228,0,0,53.5655452450856,0
0,0,9.92187319714776,0,0,43.3961441717713,0
0,0,15.1793616607912,0,0,10.7937477894254,0
3.72111444019699,0,0,0,0,0,0
14.8676567178574,0,0,0,0,13.648962237977,0
18.0325962154989,0,5.1855717757929,0,9.70937774928055,6.69281123719487,0
0,0,13.3549422427503,0,0,31.2219864284418,15.6076320357917
5.12176543940246,0,8.98847946728638,0,0,34.2422851453793,5.4553368295584
16.6573281427381,8.97121948129776,0,15.128018982377,6.15679950107921,7.84572433651817,0
0,0,8.12082261781995,5.14023865971173,5.14023865971173,40.9857463944487,0
0,0,0,19.5821187013311,19.5821187013311,10.9357739874759,35.5567128313987
0,9.88008204912428,7.50463968262317,26.8485472345989,8.73462518126696,0,22.7306880254863
0,0,0,27.2325091996014,18.1065097475195,21.8702399294641,18.1171150243242
10.6515543501608,0,0,0,0,9.74606563631059,0
0,0,12.0918270072841,13.8080592679679,7.30774015498566,12.0918270072841,22.5135530508152
27.6024686820146,0,3.63575623530519,33.8416215731737,29.9713821921368,3.63575623530519,8.75572740926909
15.7798729821224,0,14.9550961027334,38.8627143776404,25.4849900679854,7.9333016254931,0
18.5830362683832,0,23.9897386309515,10.0365858938648,0,22.0657319343619,0
17.0726141617142,8.42413956672469,0,0,0,34.5220473032893,0
22.9409801234871,0,16.8592945293484,0,0,21.4357240729705,0
8.01351280652322,0,0,0,0,31.8552455548996,0
14.8114436058255,0,20.0070426278304,5.41352184543426,5.41352184543426,14.3211172531094,0
21.5673379619647,0,9.5929104316702,22.3317089999569,14.6233127776101,15.9191858208633,0
8.82632826021701,0,8.04715890584186,0,0,0,0
38.4837339953746,8.00626275305626,12.1981602565914,0,0,20.7434989511003,0
31.3397791088079,0,6.61327590461448,0,0,17.6810163686804,0
29.9710764893178,0,0,18.5143888389276,44.1791434751963,6.94073110857254,0
46.8021655669284,0,0,0,0,28.722329447669,0
24.8679427079774,6.69887520671323,7.47199975399414,0,0,22.7148792521423,0
15.8176700195725,7.22506408142268,4.30261867130033,0,13.7148761961059,13.4522968434641,0
3.80699009080874,3.19003735583524,14.5557185438773,5.87574033308103,5.87574033308103,6.99702744664398,0
5.02189802271861,11.7992769194659,4.94820712782004,0,0,16.8211749421845,0
16.7806590060996,0,8.24233326638266,6.25178388320984,13.6283391650898,5.04878590230136,0
19.599717902755,0,9.85875505713674,0,0,7.0394437791366,0
10.6002381315141,3.25371163515092,4.14924412994532,8.4011895289849,27.2711369933357,7.52484298555976,0
0,0,0,17.1763242458795,20.5832555889568,0,0
0,0,7.38998194088016,3.84706776922347,30.175363558597,0,0
2.97760995010261,5.79752716141474,11.5991125918425,0,0,5.79752716141474,0
0,3.7145500471999,10.7706414243307,0,0,3.7145500471999,0
17.5521547679203,0,13.3130007940518,17.7578863784018,11.8024976539378,0,0
0,0,28.1834690732996,7.85824345146379,16.1457186880916,0,0
0,0,0,0,0,15.3021893308665,0
6.48914229740804,0,9.28832186530816,0,0,6.48914229740804,0
10.423871511802,0,13.3204596084593,7.99123194954525,7.99123194954525,6.46726127526789,0
0,7.34534502155552,23.7156591331466,0,0,7.34534502155552,0
0,7.87262273330385,15.8227305610127,0,0,7.87262273330385,0
14.7665794666369,5.3107568740599,34.6696122614726,0,0,9.94485695961919,0
0,5.70752179059508,42.553534918756,0,0,0,0
0,0,4.68669527896996,0,0,16.3330472103004,0
18.4695083702095,0,10.9250116282543,14.023034611659,14.023034611659,9.5210866123588,0
0,9.85528280558774,14.7382670220634,0,0,26.0574682166432,0
11.5115888173137,18.5784505237909,8.27707767369597,0,11.5025031118541,18.5784505237909,0
0,0,0,0,0,0,0
14.5016648168701,8.1953385127636,4.98113207547169,0,0,15.1453940066592,0
3.58465573625634,6.24285766478244,4.37780011402247,4.12418083521884,0,9.82751340103878,0
53.9262580255198,8.90767261114363,1.94183074660536,0,0,18.8000628239359,0
